government,department_name,vote_number,is_vote_primary,intro,website_url
Western Cape,Premier,1,True,,
Western Cape,Provincial Parliament,2,True,,
Western Cape,Provincial Treasury,3,True,,
Western Cape,Community Safety,4,True,,
Western Cape,Education,5,True,,
Western Cape,Health,6,True,,
Western Cape,Social Development,7,True,,
Western Cape,Human Settlements,8,True,,
Western Cape,Environmental Affairs And Development Planning,9,True,,
Western Cape,Transport And Public Works,10,True,,
Western Cape,Agriculture,11,True,,
Western Cape,Economic Development And Tourism,12,True,,
Western Cape,Cultural Affairs And Sport,13,True,,
Western Cape,Local Government,14,True,,
North West,Office Of The Premier,1,True,,
North West,Provincial Legislature,2,True,,
North West,Health,3,True,,
North West,"Culture, Arts And Traditional Affairs",4,True,,
North West,Community Safety And Transport Management,5,True,,
North West,Economy And Enterprise Development,6,True,,
North West,Finance,7,True,,
North West,Education And Sports Development,8,True,,
North West,Local Government And Human Settlements,9,True,,
North West,Tourism,10,True,,
North West,Public Works And Roads,11,True,,
North West,Social Development,12,True,,
North West,"Rural, Environment And Agricultural Development",13,True,,
Northern Cape,Office Of The Premier,1,True,,
Northern Cape,Provincial Legislature,2,True,,
Northern Cape,"Transport, Safety And Liaison",3,True,,
Northern Cape,Education,4,True,,
Northern Cape,Roads And Public Works,5,True,,
Northern Cape,Economic Development And Tourism,6,True,,
Northern Cape,"Sport, Arts And Culture",7,True,,
Northern Cape,Provincial Treasury,8,True,,
Northern Cape,"Cooperative Governance, Human Settlements And Traditional Affairs",9,True,,
Northern Cape,Health,10,True,,
Northern Cape,Social Development,11,True,,
Northern Cape,"Agriculture, Land Reform And Rural Development",12,True,,
Northern Cape,Environment And Nature Conservation,13,True,,
Mpumalanga,Office Of The Premier,1,True,,
Mpumalanga,Provincial Legislature,2,True,,
Mpumalanga,Finance,3,True,,
Mpumalanga,Co-Operative Governance And Traditional Affairs,4,True,,
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",5,True,,
Mpumalanga,Economic Development And Tourism,6,True,,
Mpumalanga,Education,7,True,,
Mpumalanga,"Public Works, Roads And Transport",8,True,,
Mpumalanga,"Community Safety, Security And Liaison",9,True,,
Mpumalanga,Health,10,True,,
Mpumalanga,"Culture, Sport And Recreation",11,True,,
Mpumalanga,Social Development,12,True,,
Mpumalanga,Human Settlements,13,True,,
Limpopo,Office Of The Premier,1,True,,
Limpopo,Provincial Legislature,2,True,,
Limpopo,Education,3,True,,
Limpopo,Agriculture,4,True,,
Limpopo,Provincial Treasury,5,True,,
Limpopo,"Economic Development, Environment And Tourism",6,True,,
Limpopo,Health,7,True,,
Limpopo,Transport,8,True,,
Limpopo,"Public Works, Roads And Infrastructure",9,True,,
Limpopo,Community Safety,10,True,,
Limpopo,"Co-Operative Governance, Human Settlements And Traditional Affairs",11,True,,
Limpopo,Social Development,12,True,,
Limpopo,"Sport, Arts And Culture",13,True,,
KwaZulu-Natal,Office Of The Premier,1,True,,
KwaZulu-Natal,Provincial Legislature,2,True,,
KwaZulu-Natal,Agriculture And Rural Development,3,True,,
KwaZulu-Natal,"Economic Development, Tourism And Environmental Affairs",4,True,,
KwaZulu-Natal,Education,5,True,,
KwaZulu-Natal,Provincial Treasury,6,True,,
KwaZulu-Natal,Health,7,True,,
KwaZulu-Natal,Human Settlements,8,True,,
KwaZulu-Natal,Community Safety And Liaison,9,True,,
KwaZulu-Natal,Sport And Recreation,10,True,,
KwaZulu-Natal,Co-Operative Governance And Traditional Affairs,11,True,,
KwaZulu-Natal,Transport,12,True,,
KwaZulu-Natal,Social Development,13,True,,
KwaZulu-Natal,Public Works,14,True,,
KwaZulu-Natal,Arts And Culture,15,True,,
Gauteng,Office Of The Premier,1,True,,
Gauteng,Gauteng Provincial Legislature,2,True,,
Gauteng,Economic Development,3,True,,
Gauteng,Health,4,True,,
Gauteng,Education,5,True,,
Gauteng,Social Development,6,True,,
Gauteng,Cooperative Governance And Traditional Affairs,7,True,,
Gauteng,Human Settlements,8,True,,
Gauteng,Roads And Transport,9,True,,
Gauteng,Community Safety,10,True,,
Gauteng,Agriculture And Rural Development,11,True,,
Gauteng,"Sport, Arts, Culture And Recreation",12,True,,
Gauteng,E-Government,13,True,,
Gauteng,Gauteng Provincial Treasury,14,True,,
Gauteng,Infrastructure Development,15,True,,
Free State,Premier,1,True,"## Mandate

In terms of the Constitution, the Premier (supported by the Department), is responsible for:

 * Implementing provincial legislation;
 * Implementing all national legislation within functional areas;
 * Administering in the province  national legislation outside functional areas; 
 * Developing and implementing provincial policy;
 * Co-ordinating the functions of the Provincial Administration and its departments.
 * Preparing and initiating provincial legislation and,
 * Performing any other function assigned to the provincial executive in terms of the Constitution or an Act of Parliament.

## Vision

Leading Free State Province towards Service Excellence

## Mission

To provide strategic direction and coordinate integrated service delivery within government in the Free State 

",
