government,department_name,vote_number,is_vote_primary,intro,website_url
South Africa,The Presidency,1,True,"## Vote purpose

_Facilitate a common programme towards the achievement of the electoral
mandate and the enhanced integrity of the state through considered planning,
coordination, oversight, mobilisation and support._



## Mandate

The mandate of the Presidency is to support the president and the deputy
president in the execution of their responsibilities, as outlined in the
Constitution and the programme of government.

",http://www.thepresidency.gov.za
South Africa,Parliament,2,True,"## Vote purpose

_Provide the support services required by Parliament to fulfil its
constitutional functions, assist political parties represented in Parliament
to secure administrative support and service constituents, and provide members
of Parliament_ _with the necessary facilities_.

",www.parliament.gov.za
South Africa,Communications,3,True,"## Vote purpose

_Create an enabling environment for the provision of inclusive communication
services to all South Africans in a manner that promotes socioeconomic
development and investment through broadcasting, new media, print media and
other new technologies, and brand the country locally and internationally._



## Mandate

The Department of Communications is responsible for the national
communications policy and strategy; information dissemination and publicity;
and the branding of South Africa. Improved communication and marketing will
promote an informed citizenry and assist the country in promoting investments,
economic growth and job creation. The department's mandate is derived from
section 192 of the Constitution, which provides for the independence of
broadcasting regulation in the public interest, the International
Telecommunications Union and the World Intellectual Property Organisation.

The department is responsible for the administration and implementation of the
following legislation:

  * the Films and Publications Act (1996)

  * the Broadcasting Act (1999)

  * the Media Development and Diversity Agency Act (2002)

  * the Independent Communications Authority of South Africa Act (2000), a joint responsibility with the Minister of Telecommunications and Postal Services

  * the Electronic Communications and Transactions Act (2002), a joint responsibility with the Minister of Telecommunications and Postal Services

  * The Electronic Communications and Transactions Act (2005), a joint responsibility with the Minister of Telecommunications and Postal Services.

",www.doc.gov.za
South Africa,Cooperative Governance and Traditional Affairs,4,True,"## Vote purpose

_Improve cooperative governance across the three spheres of government, in
partnership with institutions of traditional leadership, to ensure that
provinces and municipalities carry out their service delivery and development
functions effectively._



## Mandate

The Department of Cooperative Governance is mandated to: develop and monitor
the implementation of national policy and legislation aimed at transforming
and strengthening key institutions and mechanisms of governance in national,
provincial and local government to fulfil their developmental role; develop,
promote and monitor mechanisms, systems and structures to enable integrated
service delivery and implementation within government; and promote sustainable
development by providing support to and exercising oversight of provincial and
local government. This mandate is derived from the following legislation:

  * the Intergovernmental Relations Framework Act (2005)

  * the Municipal Property Rates Act (2004)

  * the Municipal Systems Act (2000)

  * the Municipal Structures Act (1998).

",www.cogta.gov.za
South Africa,Home Affairs,5,True,"## Vote purpose

_Efficiently determine and safeguard the identity and status of citizens.
Regulate immigration to ensure security, promote development and fulfil South
Africa’s international obligations_.



## Mandate

The mandate of the Department of Home Affairs is derived from the Constitution
and various acts of Parliament and policy documents. The department’s services
are divided into two broad categories: civic services and immigration
services. Both must ensure the efficient determination and safeguarding of the
identity and status of citizens and foreigners; and provide for the management
of immigration to ensure security, promote development and fulfil South
Africa’s international obligations.

",www.dha.gov.za
South Africa,International Relations and Cooperation,6,True,"## Vote purpose

_Formulate, coordinate, implement and manage South Africa’s foreign policy and
international relations programmes._



## Mandate

The president is ultimately responsible for the foreign policy and
international relations of South Africa, according to the Constitution. It is
the president’s prerogative to appoint heads of mission, to receive foreign
heads of mission, to conduct state-to-state relations, and to negotiate and
sign all international agreements. International agreements that are not of a
technical, administrative or executive nature will only bind the country after
being approved by Parliament, which also approves the country’s ratification
of or accession to multilateral agreements. All international agreements must
be tabled in Parliament for information purposes.

The Minister of International Relations and Cooperation is entrusted with the
formulation, promotion, execution and daily conduct of South Africa’s foreign
policy. The department’s overall mandate is to work for the realisation of
South Africa’s foreign policy objectives. This is done by:

  * coordinating and aligning South Africa’s international relations

  * monitoring developments in the international environment

  * communicating government’s policy positions

  * developing and advising government on policy options, creating mechanisms and avenues for achieving objectives

  * protecting South Africa’s sovereignty and territorial integrity

  * contributing to the creation of an enabling international environment for South African businesses

  * sourcing developmental assistance

  * assisting South African citizens abroad.

",www.dirco.gov.za
South Africa,National Treasury,7,True,"## Vote purpose

_Support economic growth and development, good governance, social progress and
rising living standards through the accountable, economical, efficient,
equitable and sustainable management of public finances, maintenance of
macroeconomic and financial sector stability, and effective financial
regulation of the economy._



## Mandate

National Treasury’s legislative mandate is based on section 216(1) of the
Constitution, which calls for the establishment of a national treasury to
ensure transparency, accountability and sound financial controls in the
management of the country’s public finances. This role is further elaborated
in the Public Finance Management Act (1999). The department is mandated to:

  * promote national government’s fiscal policy and the coordination of macroeconomic policy

  * ensure the stability and soundness of the financial system and financial services

  * coordinate intergovernmental financial and fiscal relations

  * manage the budget preparation process

  * enforce transparency and effective management of national revenue and expenditure, assets and liabilities, public entities, and constitutional institutions.

",www.treasury.gov.za
South Africa,"Planning, Monitoring and Evaluation",8,True,"## Vote purpose

_Improve government service delivery through integrated planning, monitoring
and evaluation._



## Mandate

The Department of Planning, Monitoring and Evaluation is mandated to:

  * facilitate the implementation of the National Development Plan (NDP) through the development of sector and outcome specific medium-term plans and delivery agreements, and monitor and evaluate the implementation of these plans

  * ensure the alignment of departmental strategic and annual plans and budget allocations to the medium-term strategic framework

  * facilitate socioeconomic impact assessments of legislation and regulations

  * monitor the performance of individual national and provincial government departments and municipalities, and related improvement plans, and facilitate targeted intervention programmes

  * monitor frontline service delivery and manage the presidential hotline

  * develop and implement the annual national evaluations plan and support the national evaluations system

  * promote good planning, monitoring and evaluation practices in government

  * facilitate the integration of youth development priorities into key government programmes.

",www.dpme.gov.za
South Africa,Public Enterprises,9,True,"## Vote purpose

_Drive investment, productivity and transformation in the department’s
portfolio of state-owned companies to unlock growth, drive industrialisation,
create jobs and develop skills._



## Mandate

The Department of Public Enterprises is the shareholder representative for
government at the state-owned companies in its portfolio. The department’s
mandate is to fulfil oversight responsibilities at these state-owned companies
to ensure that they contribute to the realisation of government’s strategic
objectives, as articulated in the National Development Plan (NDP), the medium-
term strategic framework (MTSF), the new growth path and the industrial policy
action plan. State-owned companies are crucial to driving the state’s
strategic objectives of creating jobs, and enhancing equity and
transformation. The department does not directly execute programmes but seeks
to use state ownership in the economy to support the achievement these
objectives.

",www.dpe.gov.za
South Africa,Public Service and Administration,10,True,"## Vote purpose

_Lead the modernisation of the public service, through a generally applicable framework of norms and standards, to improve service delivery._


## Mandate

The Department of Public Service and Administration draws its mandate from section 195(1) of the Constitution, which sets out basic values and principles the public service should adhere to, and the Public Service Act (1994).
In terms of the act, the Minister of Public Service and Administration is responsible for establishing norms and standards relating to:
* the functions of the public service
* organisational structures and establishments of departments, and other organisational and governance arrangements in the public service
* labour relations, conditions of service and other employment practices for employees
* the health and wellness of employees
* information management
* electronic government in the public service
* integrity, ethics, conduct and anti-corruption
* transformation, reform, innovation and any other matter to improve the effectiveness and efficiency of the public service and its service delivery to the public.",www.dpsa.gov.za
