government,department_name,vote_number,is_vote_primary,intro,website_url
Western Cape,Premier,1,True,"## Vision

To be a leading department enabling the Western Cape Government to improve the quality of life of all its
people



## Mission

To embed good governance and to enable integrated service delivery in the Western Cape through
partnerships, innovation and people excellence.



## Main Services and Core functions

As the Department of the Premier performs a strategic leading role through strategic goal 5: “Embed good
governance and integrated service delivery through partnerships and spatial alignment”, it will focus on the
following main services:",
Western Cape,Provincial Parliament,2,True,"## Vision

A dynamic, effective and efficient parliament supporting constitutional democracy.



## Mission

The parliamentary administration will provide quality parliamentary and corporate support to enable
Members to fulfil their constitutional functions and to facilitate public involvement in parliamentary activities.
By:

* providing quality support to the House and committees

* promoting public access and involvement in the law-making and oversight processes

* ensuring effective communication with all stakeholders

* ensuring seamless and synergistic parliamentary processes and systems

* investing in appropriately skilled staff

* providing a secure environment that is conducive to empowering and enabling members and staff

* implementing and adhering to good corporate governance systems and monitoring mechanisms
  managing resources effectively, efficiently and economically



## Core functions and responsibilities

To provide for:

* procedural and related support to the House and committees to conduct their legislative and oversight

* functions effectively;

* corporate support to Members and staff to perform their duties effectively;

* the promotion of optimal public participation in parliamentary processes; and

* the promotion of sound administration so as to ensure organisational efficiency",
Western Cape,Provincial Treasury,3,True,"## Vision

Good financial governance



## Mission

 
* To improve governance through:
* Enhancing accountability and oversight
* Creating public value
* Enabling delivery of quality services through partnerships
* Capacity building in public sector finance



## Core functions and responsibilities

The core functions, powers and responsibilities of the Provincial Treasury are captured in section 18 of the
PFMA and section 5 of the MFMA. To give effect to the National Strategic Outcomes (NSO) 9 and 12 and
Provincial Strategic Goal 5 (PSG 5): Embed good governance and integrated service delivery through
partnerships and spatial alignment, the branches Fiscal and Economic Services and Governance and Asset
Management will execute the following core functions and responsibilities:

* To manage the provincial and municipal fiscal resources effectively;
* To facilitate the effective and efficient management of assets and financial systems; and
* To promote accountability in financial activities and compliance with financial norms and standards


",
Western Cape,Community Safety,4,True,"## Vision

A safer open opportunity society for all� building resilient communities responsive to safety needs.



## Mission

The Department of Community Safety aims to increase safety for all the people in the Province by
promoting professional policing through effective oversight, by ensuring the safety at all public buildings
and spaces, to facilitate safety partnerships and programmes and to build greater safety and security
organisational resilience.



## Core Functions and Main services

* To ensure process excellence to support the Department and related entities in effective delivery of its
mandate.

* To implement the Constitutional and Legislative mandate of provincial oversight over law enforcement
agencies.

* To focus on building community resilience through being actively involved in communities, in organising,
sharing information and resources in an effort to increase safety.

* To develop a common vision and understanding regarding the best manner in which to manage towards
greater safety and security by optimising security related resources services and/or related spend within the
Western Cape Government (WCG).",
Western Cape,Education,5,True,"## Vision

Creating opportunity for all through improved education outcomes.
This is given expression through the three over-arching goals:
* An improvement in the level of language and mathematics in all schools
* An increase in the number and quality of passes in the National Senior Certificate
* An increase in the quality of education provision in poorer communities



## Mission

To provide quality education to all learners in the province through the following:
* Overall planning for, and management of, the education system;

* Education in public ordinary schools;

* Support to independent schools;

* Education in public special schools;

* Early Childhood Development (ECD) in Grade R;

* Training opportunities for teachers;

* A targeted food programme and other poverty alleviation and safety measures; and

* Support to teachers through provision of basic conditions of service, incentives and an employee
wellness programme 



## Main Services and Core functions

* Curriculum and Assessment support.

* Administrative and financial support systems.

* Institutional development and support systems, structures and programmes.",
Western Cape,Health,6,True,"## Vision

Access to person-centered quality care.



## Mission

We undertake to provide equitable access to quality health services in partnership with the relevant
stakeholders within a balanced and well-managed health system to the people of the Western Cape and
beyond.



## Main Services and Core functions

Western Cape Government: Health is primarily responsible for providing health services to the population of
the Province, approximately 6.2 million of which 75 per cent is estimated to be uninsured. Tertiary hospitals
are considered to be a national resource and therefore obliged to provide for people beyond the
provincial borders, and this is in line with the National Tertiary Services Grant.
The Department will continue to provide a comprehensive, cost-effective package of health services to the
people of the Western Cape. This includes preventive, promotive, curative, rehabilitative and palliative
care, via:

* District health services including: home and community-based care, clinics, community day/health
centres and district hospitals.

* Provincial, central and specialised hospital services, which include hospitals such as Tuberculosis,
Psychiatric and Rehabilitation hospitals.

* Emergency medical and planned patient transport services.

* Forensic pathology: medico-legal and inspector of anatomy services.",
Western Cape,Social Development,7,True,"## Vision

A self-reliant society.



## Mission

To ensure the provision of a comprehensive network of social development services that enables and
empowers the poor, the vulnerable and those with special needs



## Core Functions and Responsibilities

The department is committed to the following two core functions:

* A Social Welfare Service to the poor and vulnerable in partnership with stakeholders and civil society
organisations; and

* A Community Development Service that provides sustainable developmental programmes, which
facilitate empowerment of communities.",
Western Cape,Human Settlements,8,True,"## Vision

Residents of the Western Cape have access to liveable, accessible, safe, multi-opportunity settlements.



## Mission

The Department is committed to accelerating delivery, while promoting social cohesion through the
development of integrated and sustainable human settlements in an open society. It aims to:

* Provide settlements that offer good basic and socio-economic services;

* Offer a range of rental and ownership options that respond to the varied needs and incomes of
households; and

* Consistently improve settlements through joint citizen and government effort supported by private sector
contributions.



## Main Services and Core functions

The main services of the Department are to:
* Provide overall management in the Department in accordance with all applicable acts and policies;

* To facilitate and undertake housing delivery and planning;

* To provide individual subsidies and housing opportunities, including access to basic services, to
beneficiaries in accordance with the Housing Code; and

* To provide strategic, effective and efficient management of housing assets.

* The core functions and responsibilities of the Department are:

* The planning, promotion and development of integrated and sustainable human settlements;

* Administering housing subsidies and providing technical support for the development of sustainable

* human settlements;

* Sensitising the public to the importance of housing as an asset; and

* Facilitating fair relationships in rental housing.",
Western Cape,Environmental Affairs and Development Planning,9,True,"## Vision

A resilient, sustainable, quality and inclusive living environment.



## Mission

To promote a resilient, sustainable, quality and inclusive living environment in support of human well-being.



## Core functions and responsibilities

The core functions of the Department of Environmental Affairs and Development Planning are to promote
sustainable economic development and social equity by upholding the environmental integrity of the
Western Cape. This will be achieved through:

* Ensuring cohesive and integrated environmental governance in the Western Cape;

* Strategically advancing the environmental sustainability of the Western Cape;

* Sustaining the environmental quality of the Western Cape; and

* Ensuring integrated environmental and land management in the Western Cape.",
Western Cape,Transport and Public Works,10,True,"## Vision

To lead in the delivery of government infrastructure and related services.



## Mission

The Department of Transport and Public Works delivers infrastructure and services to promote socioeconomic
outcomes and safe, empowered and connected communities.



## Main Services and Core functions

The core functions of the Department are to deliver a transport system inclusive of the provincial road
network, social and economic infrastructure; and to optimally utilise the provincial property portfolio
(excluding human settlements property).

Main services of the Department are the following:

* Construction and maintenance of education, health and general buildings facilities and provincial road
network infrastructure.

* Administration of motor vehicle licences, vehicle fitness testing and driver testing.

* Administration of public transport operating licences.

* Monitoring of subsidised bus services

* Establishment of subsidised public transport services.

* Offering of bursaries to study in the engineering and built environment sector.

* Construction related skills development.

* Utilisation of the immovable asset portfolio to the benefit of the public.

* Provision of traffic law enforcement services.

* Facilitation of road safety education, communication and awareness.

* Provision of training and development opportunities to traffic policing and other law enforcement
officials.",
Western Cape,Agriculture,11,True,"## Vision

A united, responsive and prosperous agricultural sector in balance with nature



## Mission

Unlock the full potential of agriculture to enhance the economic, ecological and social wealth of all the
people of the Western Cape through:

*Encouraging sound stakeholder engagements

*Promoting the production of affordable, nutritious, safe and accessible food, fibre and agricultural

*products

*Ensuring sustainable management of natural resources

*Executing cutting edge and relevant research and technology development

*Developing, retaining and attracting skills and human capital

*Providing a competent and professional extension support service

*Enhancing market access for the entire agricultural sector

*Contributing towards alleviation of poverty and hunger
",
Western Cape,Economic Development and Tourism,12,True,"## Vision

The Department’s vision is a Western Cape that has a vibrant, innovative, and sustainable economy,
characterised by growth, employment and increasing equity, and built on the full potential of all.



## Mission

* To achieve the vision statement as noted above, the Department of Economic Development and

* Tourism will provide leadership to the Western Cape economy through the Department’s
understanding of the economy, its ability to identify economic opportunities and potential, and its
contribution to government economic priorities.

*The Department will also act as a catalyst for the transformation of the economy and respond to the
challenges and opportunities of its economic citizens, in order to support the government’s goal of
creation of opportunities for businesses and citizens to grow the economy and employment.

Lastly, it will contribute to the provision of a predictable, competitive, equitable and responsible
environment for investment, enterprise and trade.



## Main Services and Core functions

With the adoption of Strategic Goal 1: Create opportunities for growth and jobs and its subsequent
Strategic directive, the primary focus for Vote 12: Economic Development and Tourism is squarely placed on
delivering effectively on the provision of an enabling business environment which will allow for the private
sector to grow the economy and create jobs.

Furthermore, there is a national drive and commitment to create jobs. This is demonstrated by the numerous
incentives associated with National Government’s approach to economic stimulation policies, where the
emphasis has been placed on the creation of “real work opportunities”.

In this context, this Department, has emphasised a strategic approach that will be grounded in the need to:

* Create opportunities for growth;

* Increase work opportunities for all citizens;

* Creating an enabling environment for business and citizenry growth and development; and

* Creating a competitive and productive economic Province.",
Western Cape,Cultural Affairs and Sport,13,True,"## Vision

A socially inclusive, creative, active and connected Western Cape.



## Mission

We encourage excellence and inclusiveness in sport and culture through the effective, efficient and
sustainable use of our resources, and through creative partnerships. In moving to excellence and making
the Western Cape the sports and cultural centre of South Africa, we will create the conditions for access
and mass participation, talent identification and skills development.



## Main services and core functions

Cultural Affairs and Sport is a tool that is used to assist with the building of a socially inclusive Western Cape
community. The Department’s four Programmes provide the following main services and core functions:

* Programme 1: Administration provides overall financial and strategic management and administrative
support for the Department of Cultural Affairs and Sport.

* Programme 2: Cultural Affairs provides arts and culture, museum, heritage and language-related
services to the inhabitants of the Western Cape.

* Programme 3: Library and Archive Services provides comprehensive library and archive services in the
Western Cape.

* Programme 4: Sport and Recreation provides sport and recreation activities for the inhabitants of the
Western Cape.",
Western Cape,Local Government,14,True,"## Vision

An efficient and dynamic team that enables well governed municipalities to deliver services to communities
in a responsive, sustainable and integrated manner.



## Mission

To monitor, coordinate and support municipalities to be effective in fulfilling their developmental mandate,
and facilitate service delivery and disaster resilience through engagement with government spheres and
social partners.



## Values

The Department’s values are the same as the five provincial values, namely:

* Caring

* Competency

* Accountability

* Integrity

* Responsiveness

* Innovation",
Northern Cape,Office of the Premier,1,True,"## Vision

A prosperous province with a quality of life for all.



## Mission Statement

Improving government’s performance through strategic leadership and integrated planning, monitoring and evaluation.



## Strategic Goals

* Promote equality, empowerment of the vulnerable sectors of society and drive children’s rights, rights of the elderly and persons with disability through inclusive government programmes and interventions.

* Create a coordinated, collaborative, diversified, economic partnership in an enabled environment.

* To provide effective leadership to the province and society.

* To enhance the performance of government by making the public service and local government a career of choice.

* Improved performance through strategic and coordinated skills development for improved service delivery and economic growth in the province.",
Northern Cape,Provincial Legislature,2,True,"## Vision

An activist Legislature advancing the aspirations of the people of the Northern Cape.



## Mission

To serve people of the Northern Cape by building a developmental institution for effective law making, public participation, accountability and oversight over the executive and municipalities.



## Values

The Legislature abides by the following values:

* People Centred in all our intentions and actions

* Truthful, ethical, open, honest and transparent in all we do

* Responsible, reliable and answerable for our actions

* Consistent service excellence in performance delivery and execution of our mandate/roles both of support and oversight

* Always open to scrutiny

* Value our stakeholders and considerate, caring and timely

* Promote and embrace change and new ideas",
Northern Cape,"Transport, Safety and Liaison",3,True,"## Vision

A leader in the creation and co-ordination of safe, secure and sustainable transport and policing systems for a crime-free Northern Cape Province.



## Mission

To enable safe and secure environment and mobility, for the community of the Northern Cape, through:

* Good corporate governance, management, administration and support;

* Establishing and supporting community safety partnerships;

* Monitoring and oversight of the police;

* Facilitating and co-ordinating social crime prevention and road safety programmes;

* Educating, enforcing and administering road traffic legislation;

* Liaison with all relevant stakeholders, role-players and clients, pertaining policing, safety and security;

* Regulated and integrated transport modes which are economically and environmentally sustainable.",
